연도별회담내용,연도별회담제목,작성일
"- 제2차 : 2006. 1. 19 ~ 20. (개성, 자남산여관)- 제3차 : 2006. 5. 3 ~ 4. (개성, 남북경제협력협의사무소)- 제4차 : 2006. 5. 18 ~ 19. (개성, 남북경제협력협의사무소)",남북경제협력추진위원회 위원급 실무접촉(3회),2006-01-23
- 2005.11.23 - 24 (개성),남북경제협력추진위원회 위원급 실무접촉,2006-01-25
"- 제3차 : 2006. 2. 3, (판문점 북측지역 통일각) -> 제27차",남북장성급군사회담 실무대표회담 수석대표접촉 - '제27차 남북군사실무회담'으로 변경(076.15),2006-02-06
- 제7차 : 2006. 2. 21 ~ 2. 23. (금강산),남북적십자회담 (1회),2006-02-21
- 제11차 2006. 2. 27 ~ 2. 28. (개성 남북경제협력협의사무소)- 제12차 2006. 5. 11 ~ 5. 12. (개성 남북경제협력협의사무소),"남북철도, 도로연결실무접촉(2회)",2006-02-27
- 제3차 : 2006. 3. 2 ~ 3. 3. (판문점 북측 통일각)- 제4차 : 2006. 5.16 ~ 5. 18. (판문점 남측 자유의집),남북장성급군사회담(2회),2006-03-02
"- 제3차 2006. 3. 20 (개성, 자남산여관)",안중근의사 유해공동발굴사업 남북실무접촉(1회),2006-03-27
- 제5차 : 2006.3.17 ~ 22(금강산),남북적십자 실무접촉(1회),2006-04-20
"- 제18차 : 2006.4.21~24(평양, 고려호텔)- 제19차 : 2006.7.11~13(부산, 웨스틴조선호텔)",남북장관급회담(2회),2006-04-25
"- 제1차 : 2006.5.16~17.(금강산, 금강산호텔)- 제2차 : 2006.5.29.(개성, 자남산여관)",김대중 전 대통령 방북 관련 실무접촉(2회),2006-05-18
"- 제1차 : 2006.5.23(개성, 자남산여관)",2006년 6.15 남북당국공동행사 실무접촉(1회),2006-05-24
"- 제12차 : 2006.6.3 ~ 6.6 (제주, 롯데호텔)",남북경제협력추진위원회(1회),2006-06-07
- 제2차 : 2006.6.20~21 (개성 남북경제협력협의사무소),개성공단건설 실무접촉,2006-06-23
- 제1차 : 2006.6.26~27 (개성 남북경제협력협의사무소),임진강수해방지 실무접촉(1회),2006-06-28
- 제2차 : 2006.06.29 (개성 자남산여관)- 제3차 : 2006.11.30~12.2 (카타르 도하 인터콘티넨탈호텔),남북단일팀 구성을 위한 남북체육회담(2회),2006-07-03
- 제1차 : 2006.8.19 (금강산 금강산호텔),대북 수해복구지원 관련 남북적십자 실무접촉,2006-08-24
- 제2차 : 2006.10.2 (판문점 통일각) -> 제28차,남북군사실무회담 수석대표접촉 - '제28차 남북군사실무회담'으로 변경(07.6.15),2006-10-04
"- 제4차 : 2007.2.13. (개성, 자남산여관)",남북단일팀 구성을 위한 남북체육회담,2007-02-14
"- 2007.2.15. (개성, 자남산여관)",제20차 남북장관급회담 개최를 위한 실무대표접촉,2007-02-15
"- 제20차 : 2007.2.27~3.2. (평양, 고려호텔)- 제21차 : 2007.5.29~6.1. (서울, 그랜드힐튼호텔)",남북장관급회담(2회),2007-03-02
"- 제6차 : 2007.3.9~3.10. (금강산, 금강산호텔)",남북적십자 제6차 실무접촉(이산가족면회소 건설추진을 위한),2007-03-12
"- 제5차 : 2007.3.14~15. (개성, 남북경제협력협의사무소)",남북경제협력추진위원회 위원급 실무접촉,2007-03-15
"- 2007.3.30. (개성, 봉동관)",북한구제역 방역지원을 위한 남북실무접촉,2007-03-30
"- 제4차 : 2007.4.10. (개성, 중앙특구개발지도총국 개성공업지구사무소)",안중근의사 유해공동발굴 및 봉환을 위한 실무접촉,2007-04-11
"- 제8차 : 2007.4.10~4.13. (금강산, 금강산호텔)- 제9차 : 2007.11.28~11.30. (금강산, 금강산호텔)",남북적십자회담(2회),2007-04-13
"- 제13차 : 2007.4.18~4.22. (평양, 고려호텔)",남북경제협력추진위원회,2007-04-23
"- 제13차 · 제1차 회의 : 2007.4.27~4.28. (개성, 남북경제협력협의사무소) · 제2차 회의 : 2007.5.13. (개성, 남북경제협력협의사무소)",남북철도·도로연결 실무접촉(2회),2007-04-30
"- 제2차 : 2007.5.2~5.4. (개성, 남북경제협력협의사무소)- 제3차 : 2007.5.22~5.23. (개성, 남북경제협력협의사무소)",남북 경공업 및 지하자원개발 실무협의(2회),2007-05-07
"- 2007.5.8. (개성, 남북경제협력협의사무소)",북한 산림병충해방제 지원을 위한 남북실무접촉,2007-05-09
"- 제5차 : 2007.5.8~11. (판문점, 북측 통일각)- 제6차 : 2007.7.24~26. (판문점, 남측 평화의집)- 제7차 : 2007.12.12~14. (판문점, 남측 평화의집)",남북장성급군사회담(3회),2007-05-10
"- 2007.6.7~8. (개성, 남북경제협력협의사무소)- 2007.7.5~7. (개성, 남북경제협력협의사무소)",남북 경공업 및 지하자원개발 협력 이행기구 실무협의(2회),2007-06-12
"- 제29차 : 2007.6. 8. (판문점, 남측 평화의집)- 제30차 : 2007.7.10. (판문점, 북측 통일각)- 제31차 : 2007.7.16. (판문점, 남측 평화의집)- 제32차 : 2007.11.12. (판문점, 북측 통일각)- 제33차 : 2007.11.20~21. (판문점, 남측 평화의집)- 제34차 : 2007.11.24. (판문점, 남측 평화의집)- 제35차 : 2007.12. 5. (판문점, 북측 통일각)",남북군사실무회담(7회),2007-06-12
"- 제3차 : 2007.6.12~6.13. (개성, 남북경제협력협의사무소)",남북개성공단건설 실무접촉,2007-06-14
"- 2007.6.29~6.30. (개성, 남북경제협력협의사무소)",중유 5만톤 제공을 위한 남북실무접촉,2007-07-02
"- 제1차 : 2007.8.2~3, 평양- 제2차 : 2007.8.4~5, 평양",남북정상회담 개최 관련 남북특사접촉(2회),2007-09-04
"- 2007.8.14. (개성, 자남산여관)",남북정상회담 준비접촉,2007-09-04
"- 제1차 : 2007.8.14. (개성, 자남산여관)- 제2차 : 2007.8.16. (개성, 자남산여관)",남북정상회담 관련 분야별 실무접촉(2회),2007-09-04
"- 2007.10.2~4. (평양, 백화원초대소)",남북정상회담,2007-10-04
"- 제1차 : 2007.10.26. (개성, 자남산여관)- 제2차 : 2007.11.9. (개성, 자남산여관)- 제3차 : 2007.11.11. (개성, 자남산여관)",남북총리회담 예비접촉(3회),2007-10-29
"- 제1차 : 2007.11.5. (개성, 자남산여관)- 제2차 : 2007.12.18. (개성, 자남산여관)",남북농업협력 실무접촉(2회),2007-11-06
"- 2007.11.14~16. (서울, 쉐라톤워커힐호텔)",남북총리회담,2007-11-19
"- 2007.11.20~21. (개성, 자남산여관)",남북철도협력분과위원회 실무접촉,2007-11-22
"- 제2차 : 2007.11.27~29 (평양, 송전각초대소)",남북국방장관회담,2007-11-30
"- 2007.11.28~29. (개성, 자남산여관)",남북도로협력분과위원회 실무접촉,2007-11-30
"- 2007.12.1. (개성, 자남산여관)",남북철도운영공동위원회,2007-12-02
"- 2007.12.4~6. (서울, 그랜드힐튼호텔)",남북경제협력공동위원회,2007-12-07
"- 2007.12.14~15. (개성, 자남산여관)",남북농수산협력분과위원회,2007-12-17
"- 2007.12.17~18. (개성, 자남산여관)",남북기상협력 실무접촉,2007-12-20
"- 2007.12.20~21. (개성, 남북경제협력협의사무소)",개성공단협력분과위원회,2007-12-20
"- 2007.12.20~21. (개성, 자남산여관)",남북보건의료·환경보호협력분과위원회,2007-12-20
"- 제1차 : 2007.12.25. (개성, 남북경제협력협의사무소)",금강산관광 활성화 당국간 실무접촉,2007-12-31
"- 2007.12.25~28. (부산, 웨스틴조선호텔)",남북조선·해운협력분과위원회,2007-12-31
"- 제1차 : 2007.12.28. (개성, 자남산여관)",베이징올림픽 공동응원단 경의선 열차 이용 관련 실무접촉,2007-12-31
"- 2007.12.28~29. (개성, 남북경제협력협의사무소)",서해평화협력특별지대 추진위원회,2007-12-31
"- 제36차 : 2008.1.25. (판문점, 남측 평화의집)- 제37차 : 2008.10.02. (판문점, 남측 평화의집)",남북군사실무회담(2회),2008-01-25
"- 2008.1.29~30. (개성, 남북경제협력협의사무소)",남북철도협력분과위원회 회의,2008-01-31
"- 제2차 : 2008.2.4. (개성, 자남산여관)",베이징올림식 공동응원단 경의선 열차 이용 관련 실무접촉,2008-02-04
"- 제2차 : 2008.2.5. (개성, 남북경제협력협의사무소)",금강산관광 활성화 당국간 실무접촉,2008-02-05
"- 2008.2.12~13. (개성, 남북경제협력협의사무소)",남북도로협력분과위원회 회의,2008-02-14
"- 제1차 실무회담 : 2009.6.11, (개성, 남북경제협력협의사무소)- 제2차 실무회담 : 2009.6.19, (개성, 남북경제협력협의사무소)- 제3차 실무회담 : 2009.7.2, (개성, 남북경제협력협의사무소)",개성공단 관련 남북당국간 실무회담(3회),2009-07-23
"- 남북적십자회담: 2009.8.26~8.28, (금강산, 금강산호텔)",남북적십자회담,2009-09-03
"- 임진강 수해방지 실무회담 : 2009.10.14(개성, 남북경제협력협의사무소)",임진강 수해방지 실무회담,2009-10-19
"- 남북적십자 실무접촉 : 2009.10.16(개성, 남북경제협력협의사무소)",남북적십자 실무접촉,2009-10-19
"제4차 실무회담 : 2010.2.1, (개성, 남북경제협력협의사무소)",개성공단 관련 남북당국간 실무회담,2010-02-02
"- 금강산·개성관광 관련 남북당국간 실무회담 : 2010.2.8(개성, 남북경제협력협의사무소)",금강산·개성관광 관련 남북당국간 실무회담,2010-02-09
"- 개성공단 3통문제 해결을 위한 남북실무접촉 : 2010.03.02(개성, 남북경제협력협의사무소)",개성공단 3통문제 해결을 위한 남북실무접촉,2010-03-10
"남북적십자 실무접촉(9.17) : 2010. 9.17 (개성, 자남산여관)남북적십자 실무접촉(9.24) : 2010. 9.24 (개성, 자남산여관)남북적십자 실무접촉(10.01) : 2010. 10.01 (개성, 자남산여관)",남북적십자 실무접촉,2010-09-24
"제38차 남북군사실무회담 : 2010. 9.30 (판문점, 평화의집)",제38차 남북군사실무회담,2010-09-30
"남북적십자회담(10.26-27) : 2010.10.26-27 (개성, 자남산여관)",남북적십자회담(10.26-27),2010-10-27
"제39차 남북군사실무회담 : 2011.2.8-9(판문점, 평화의집)",제39차 남북군사실무회담,2011-02-08
"이산가족 상봉 등 인도적 문제 해결을 위한 남북 적십자 실무접촉, 2013.8.23~8.23, 판문점 평화의집",남북적십자 실무접촉,2013-06-13
"제1차 개성공단 남북당국 실무회담, 2013.7.6~7.7, 판문점 통일각제2차 개성공단 남북당국 실무회담, 2013.7.10, 개성공단 종합관리센터제3차 개성공단 남북당국 실무회담, 2013.7.15, 개성공단 종합관리센터제4차 개성공단 남북당국 실무회담, 2013.7.17, 개성공단 종합관리센터제5차 개성공단 남북당국 실무회담, 2013.7.22, 개성공단 종합관리센터제6차 개성공단 남북당국 실무회담, 2013.7.25, 개성공단 종합관리센터제7차 개성공단 남북당국 실무회담, 2013.8.14, 개성공단 종합관리센터",개성공단 남북당국 실무회담,2013-08-12
"남북당국자 실무접촉, 2013.06.09~10, 판문점 평화의집",남북당국자 실무접촉,2013-08-23
"개성공단 남북공동위원회 제1차 회의, 2013.9.2, 개성공단 종합관리센터개성공단 남북공동위원회 국제경쟁력 분과위원회 제1차 회의, 2013.9.4, 개성공단 종합관리센터개성공단 남북공동위원회 투자보호 및 관리운영 분과위원회 제1차 회의, 2013.9.4, 개성공단 종합관리센터개성공단 남북공동위원회 출입체류 분과위원회 제1차 회의, 2013.9.5, 개성공단 종합관리센터개성공단 남북공동위원회 통행통신통관 분과위원회 제1차 회의, 2013.9.5, 개성공단 종합관리센터개성공단 남북공동위원회 제2차 회의, 2013.9.10~9.11, 개성공단 종합관리센터개성공단 남북공동위원회 출입체류 분과위원회 제2차 회의, 2013.9.13, 개성공단 종합관리센터개성공단 남북공동위원회 통행통신통관 분과위원회 제2차 회의, 2013.9.13, 개성공단 종합관리센터개성공단 남북공동위원회 제3차 회의, 2013.9.16, 개성공단 종합관리센터개성공단 남북공동위원회 출입체류 분과위원회 제3차 회의, 2013.9.26, 개성공단 종합관리센터개성공단 남북공동위원회 투자보호 및 관리운영 분과위원회 제2차 회의, 2013.11.13, 개성공단 종합관리센터개성공단 남북공동위원회 국제경쟁력 분과위원회 제2차 회의, 2013.11.13, 개성공단 종합관리센터개성공단 남북공동위원회 출입체류 분과위원회 제4차 회의, 2013.11.14, 개성공단 종합관리센터개성공단 남북공동위원회 통행통신통관 분과위원회 제3차 회의, 2013.11.29, 개성공단 종합관리센터개성공단 남북공동위원회 제4차 회의, 2013.12.19, 개성공단 종합관리센터",개성공단 남북공동위원회 회의,2013-09-03
"개성공단 남북공동위원회 통행통신통관 분과위원회 제4차 회의(2014.1.24,개성-개성공단 종합지원센터)개성공단 상사중재위원회 운영을 위한 제1차 회의, 2014.3.13, 개성공단 종합관리센터개성공단 남북공동위원회 제5차 회의, 2014.6.26, 개성공단 종합관리센터",개성공단 남북공동위원회 회의,2014-01-27
"남북적십자 실무접촉(2.5), 2014.2.5, 판문점 통일각",남북적십자 실무접촉(2.5),2014-02-06
"남북 고위급 접촉 - 제1일차 접촉(2.12), 2014.2.12, 판문점 평화의집 / 제2일차 접촉(2.14), 2014.2.14, 판문점 평화의집",남북 고위급 접촉,2014-02-13
인천아시아경기대회 남북실무접촉(2014.7.17. 판문점 [평화의집]),인천아시아경기대회 남북실무접촉,2014-08-14
인천 아시안게임 폐회식 계기 남북고위급회담,인천 아시안게임 폐회식 계기 남북고위급회담,2014-10-07
"남북 군사당국자 접촉, 2014.10.15, 판문점 평화의집",남북 군사당국자 접촉,2014-10-23
"개성공단 남북공동위원회 제6차 회의, 2015.7.16, 개성공단 종합관리센터",개성공단 남북공동위원회 회의,2015-08-31
"남북 고위당국자 접촉, 2015.8.22~24, 판문점 평화의집",남북 고위당국자 접촉,2015-08-31
"남북적십자 실무접촉, 2015.9.7~8, 판문점 평화의집",남북적십자 실무접촉,2015-09-07
