연도,회담분야,회담명,개최회담,개최국가,개최지역,개최시설,회담시작일자,회담종료일자,회담일수
1992,정치,남북고위급회담 분과위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 분과위원회 구성·운영문제 협의를 위한 제1차 대표접촉,중립,판문점 남측,평화의집,1992-01-23,1992-01-23,1
1992,정치,남북고위급회담 분과위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 분과위원회 구성·운영문제 협의를 위한 제2차 대표접촉,중립,판문점 북측,통일각,1992-01-29,1992-01-29,1
1992,정치,남북고위급회담 분과위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 분과위원회 구성·운영문제 협의를 위한 제3차 대표접촉,중립,판문점 남측,평화의집,1992-02-07,1992-02-07,1
1992,정치,남북고위급회담 본회담,제6차 남북고위급회담 본회담,북측,평양,인민문화궁전,1992-02-18,1992-02-21,4
1992,정치,남북고위급회담 본회담,제7차 남북고위급회담 본회담,남측,서울,신라호텔,1992-05-05,1992-05-08,4
1992,정치,남북고위급회담 본회담,제8차 남북고위급회담 본회담,북측,평양,인민문화궁전,1992-09-15,1992-09-18,4
1992,정치,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 제1차 대표접촉,북측,평양,백화원초대소,1992-02-19,1992-02-19,1
1992,정치,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 제2차 대표접촉,중립,판문점 북측,통일각,1992-02-27,1992-02-27,1
1992,정치,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 제3차 대표접촉,중립,판문점 남측,평화의집,1992-03-03,1992-03-03,1
1992,정치,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 제4차 대표접촉,중립,판문점 북측,통일각,1992-03-04,1992-03-04,1
1992,정치,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 제5차 대표접촉,중립,판문점 남측,평화의집,1992-03-06,1992-03-06,1
1992,정치,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 제6차 대표접촉,중립,판문점 북측,통일각,1992-03-10,1992-03-10,1
1992,정치,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 대표접촉,남북고위급회담 남북핵통제공동위원회 구성·운영문제 협의를 위한 제7차 대표접촉,중립,판문점 남측,평화의집,1992-03-14,1992-03-14,1
1992,정치,남북고위급회담 정치분과위원회 회의,남북고위급회담 정치분과위원회 제1차 회의,중립,판문점 남측,평화의집,1992-03-09,1992-03-09,1
1992,정치,남북고위급회담 정치분과위원회 회의,남북고위급회담 정치분과위원회 제2차 회의,중립,판문점 북측,통일각,1992-03-27,1992-03-27,1
1992,정치,남북고위급회담 정치분과위원회 회의,남북고위급회담 정치분과위원회 제3차 회의,중립,판문점 남측,평화의집,1992-04-23,1992-04-23,1
1992,정치,남북고위급회담 정치분과위원회 회의,남북고위급회담 정치분과위원회 제4차 회의,중립,판문점 북측,통일각,1992-05-19,1992-05-19,1
1992,정치,남북고위급회담 정치분과위원회 회의,남북고위급회담 정치분과위원회 제5차 회의,중립,판문점 남측,평화의집,1992-06-09,1992-06-09,1
1992,정치,남북고위급회담 정치분과위원회 회의,남북고위급회담 정치분과위원회 제6차 회의,중립,판문점 북측,통일각,1992-07-02,1992-07-02,1
1992,정치,남북고위급회담 정치분과위원회 회의,남북고위급회담 정치분과위원회 제7차 회의,중립,판문점 남측,평화의집,1992-08-28,1992-08-28,1
1992,정치,남북고위급회담 군사분과위원회 회의,남북고위급회담 군사분과위원회 제1차 회의,중립,판문점 북측,통일각,1992-03-13,1992-03-13,1
1992,정치,남북고위급회담 군사분과위원회 회의,남북고위급회담 군사분과위원회 제2차 회의,중립,판문점 남측,평화의집,1992-03-31,1992-03-31,1
