연도,회담분야,회담명,개최회담,개최국가,개최지역,개최시설,회담시작일자,회담종료일자,회담일수
1990,정치,남북고위급회담 예비회담 실무대표접촉,남북고위급회담 예비회담 제1차 실무대표접촉,중립,판문점 중립,중감위회의실,1990-07-06,1990-07-06,1
1990,정치,남북고위급회담 예비회담 실무대표접촉,남북고위급회담 예비회담 제2차 실무대표접촉,중립,판문점 중립,중감위회의실,1990-07-12,1990-07-12,1
1990,정치,남북고위급회담 본회담,제1차 남북고위급회담 본회담,남측,서울,인터콘티넨탈호텔,1990-09-04,1990-09-07,4
1990,정치,남북고위급회담 본회담,제2차 남북고위급회담 본회담,북측,평양,인민문화궁전,1990-10-16,1990-10-19,4
1990,정치,남북고위급회담 본회담,제3차 남북고위급회담 본회담,남측,서울,신라호텔,1990-12-11,1990-12-14,4
1990,정치,남북고위급회담 UN가입 관련 실무대표접촉,남북고위급회담 UN가입 관련 제1차 실무대표접촉,중립,판문점 중립,중감위회의실,1990-09-18,1990-09-18,1
1990,정치,남북고위급회담 UN가입 관련 실무대표접촉,남북고위급회담 UN가입 관련 제2차 실무대표접촉,중립,판문점 중립,중감위회의실,1990-10-05,1990-10-05,1
1990,정치,남북고위급회담 UN가입 관련 실무대표접촉,남북고위급회담 UN가입 관련 제3차 실무대표접촉,중립,판문점 중립,중감위회의실,1990-11-09,1990-11-09,1
1990,정치,제3차 남북고위급회담 개최를 위한 실무대표접촉,제3차 남북고위급회담 개최를 위한 제1차 실무대표접촉,중립,판문점 북측,통일각,1990-11-21,1990-11-21,1
1990,정치,제3차 남북고위급회담 개최를 위한 실무대표접촉,제3차 남북고위급회담 개최를 위한 제2차 실무대표접촉,중립,판문점 남측,평화의집,1990-11-27,1990-11-27,1
1990,정치,제3차 남북고위급회담 개최를 위한 실무대표접촉,제3차 남북고위급회담 개최를 위한 제3차 실무대표접촉,중립,판문점 북측,통일각,1990-12-01,1990-12-01,1
1990,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉(수석대표단독접촉),제2차 고향방문 및 예술공연단 교환 관련 제2차 실무대표접촉(수석대표단독,중립,판문점 중립,중감위회의실,1990-11-07,1990-11-07,1
1990,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제2차 고향방문 및 예술공연단 교환 관련 제8차 실무대표접촉,중립,판문점 중립,중감위회의실,1990-11-08,1990-11-08,1
1990,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 실무대표접촉,90북경 아시아 경기대회 단일팀 구성·참가 관련 제4차 실무대표접촉,중립,판문점 중립,중감위회의실,1990-01-10,1990-01-10,1
1990,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 실무대표접촉,90북경 아시아 경기대회 단일팀 구성·참가 관련 제5차 실무대표접촉,중립,판문점 중립,중감위회의실,1990-01-15,1990-01-15,1
1990,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 실무대표접촉,90북경 아시아 경기대회 단일팀 구성·참가 관련 제6차 실무대표접촉,중립,판문점 중립,중감위회의실,1990-01-22,1990-01-22,1
1990,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 남북체육회담 본회담,90북경 아시아 경기대회 단일팀 구성·참가 관련 제7차 남북체육회담 본회담,중립,판문점 남측,평화의집,1990-01-18,1990-01-18,1
1990,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 남북체육회담 본회담,90북경 아시아 경기대회 단일팀 구성·참가 관련 제8차 남북체육회담 본회담,중립,판문점 북측,통일각,1990-01-29,1990-01-29,1
1990,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 남북체육회담 본회담,90북경 아시아 경기대회 단일팀 구성·참가 관련 제9차 남북체육회담 본회담,중립,판문점 남측,평화의집,1990-02-07,1990-02-07,1
1990,사회문화,국제경기 단일팀 구성·참가위한 남북체육회담,국제경기 단일팀 구성·참가위한 제1차 남북체육회담,중립,판문점 북측,통일각,1990-11-29,1990-11-29,1
1989,정치,남북고위급회담 예비회담,남북고위급회담 제1차 예비회담,중립,판문점 남측,평화의집,1989-02-08,1989-02-08,1
1989,정치,남북고위급회담 예비회담,남북고위급회담 제2차 예비회담,중립,판문점 북측,통일각,1989-03-02,1989-03-02,1
1989,정치,남북고위급회담 예비회담,남북고위급회담 제3차 예비회담,중립,판문점 남측,평화의집,1989-10-12,1989-10-12,1
1989,정치,남북고위급회담 예비회담,남북고위급회담 제4차 예비회담,중립,판문점 북측,통일각,1989-11-15,1989-11-15,1
1989,정치,남북고위급회담 예비회담,남북고위급회담 제5차 예비회담,중립,판문점 남측,평화의집,1989-12-20,1989-12-20,1
1989,정치,남북국회회담 준비접촉,남북국회회담 제8차 준비접촉,중립,판문점 남측,평화의집,1989-10-25,1989-10-25,1
1989,정치,남북국회회담 준비접촉,남북국회회담 제9차 준비접촉,중립,판문점 북측,통일각,1989-11-29,1989-11-29,1
1989,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제2차 고향방문 및 예술공연단 교환 관련 제1차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-09-27,1989-09-27,1
1989,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제2차 고향방문 및 예술공연단 교환 관련 제2차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-10-06,1989-10-06,1
1989,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제2차 고향방문 및 예술공연단 교환 관련 제3차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-10-16,1989-10-16,1
1989,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제2차 고향방문 및 예술공연단 교환 관련 제4차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-11-08,1989-11-08,1
1989,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제2차 고향방문 및 예술공연단 교환 관련 제5차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-11-13,1989-11-13,1
1989,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제2차 고향방문 및 예술공연단 교환 관련 제6차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-11-21,1989-11-21,1
1989,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제2차 고향방문 및 예술공연단 교환 관련 제7차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-11-27,1989-11-27,1
1989,인도,제2차 고향방문 및 예술공연단 교환 관련 실무대표접촉(수석대표단독접촉),제2차 고향방문 및 예술공연단 교환 관련 제1차 실무대표접촉(수석대표단독,중립,판문점 중립,중감위회의실,1989-12-04,1989-12-04,1
1989,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 남북체육회담 본회담,90북경 아시아 경기대회 단일팀 구성·참가 관련 제1차 남북체육회담 본회담,중립,판문점 남측,평화의집,1989-03-09,1989-03-09,1
1989,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 남북체육회담 본회담,90북경 아시아 경기대회 단일팀 구성·참가 관련 제2차 남북체육회담 본회담,중립,판문점 북측,통일각,1989-03-28,1989-03-28,1
1989,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 남북체육회담 본회담,90북경 아시아 경기대회 단일팀 구성·참가 관련 제3차 남북체육회담 본회담,중립,판문점 남측,평화의집,1989-10-20,1989-10-20,1
1989,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 남북체육회담 본회담,90북경 아시아 경기대회 단일팀 구성·참가 관련 제4차 남북체육회담 본회담,중립,판문점 북측,통일각,1989-11-16,1989-11-16,1
1989,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 남북체육회담 본회담,90북경 아시아 경기대회 단일팀 구성·참가 관련 제5차 남북체육회담 본회담,중립,판문점 남측,평화의집,1989-11-24,1989-11-24,1
1989,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 남북체육회담 본회담,90북경 아시아 경기대회 단일팀 구성·참가 관련 제6차 남북체육회담 본회담,중립,판문점 북측,통일각,1989-12-22,1989-12-22,1
1989,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 실무대표접촉,90북경 아시아 경기대회 단일팀 구성·참가 관련 제1차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-12-01,1989-12-01,1
1989,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 실무대표접촉,90북경 아시아 경기대회 단일팀 구성·참가 관련 제2차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-12-06,1989-12-06,1
1989,사회문화,90북경 아시아 경기대회 단일팀 구성·참가 관련 실무대표접촉,90북경 아시아 경기대회 단일팀 구성·참가 관련 제3차 실무대표접촉,중립,판문점 중립,중감위회의실,1989-12-15,1989-12-15,1
1988,정치,남북국회회담 준비접촉,남북국회회담 제1차 준비접촉,중립,판문점 북측,통일각,1988-08-19,1988-08-19,1
1988,정치,남북국회회담 준비접촉,남북국회회담 제2차 준비접촉,중립,판문점 남측,평화의집,1988-08-20,1988-08-20,1
1988,정치,남북국회회담 준비접촉,남북국회회담 제3차 준비접촉,중립,판문점 북측,통일각,1988-08-22,1988-08-22,1
1988,정치,남북국회회담 준비접촉,남북국회회담 제4차 준비접촉,중립,판문점 남측,평화의집,1988-08-26,1988-08-26,1
1988,정치,남북국회회담 준비접촉,남북국회회담 제5차 준비접촉,중립,판문점 북측,통일각,1988-10-13,1988-10-13,1
1988,정치,남북국회회담 준비접촉,남북국회회담 제6차 준비접촉,중립,판문점 남측,평화의집,1988-11-17,1988-11-17,1
1988,정치,남북국회회담 준비접촉,남북국회회담 제7차 준비접촉,중립,판문점 북측,통일각,1988-12-29,1988-12-29,1
1988,정치,남북국회회담 준비접촉 수석대표단독접촉,남북국회회담 준비접촉 수석대표단독접촉,중립,판문점 남측,평화의집,1988-08-24,1988-08-24,1
1987,사회문화,서울올림픽 관련 IOC중재 남북체육회담,서울올림픽 관련 IOC중재 제4차 남북체육회담,해외,스위스 로잔느,스위스 로잔느,1987-07-14,1987-07-15,2
1986,사회문화,서울올림픽 관련 IOC중재 남북체육회담,서울올림픽 관련 IOC중재 제2차 남북체육회담,해외,스위스 로잔느,스위스 로잔느,1986-01-08,1986-01-09,2
1986,사회문화,서울올림픽 관련 IOC중재 남북체육회담,서울올림픽 관련 IOC중재 제3차 남북체육회담,해외,스위스 로잔느,스위스 로잔느,1986-06-10,1986-06-11,2
1985,정치,남북국회회담 예비접촉,남북국회회담 제1차 예비접촉,중립,판문점 중립,중감위회의실,1985-07-23,1985-07-23,1
1985,정치,남북국회회담 예비접촉,남북국회회담 제2차 예비접촉,중립,판문점 중립,중감위회의실,1985-09-25,1985-09-25,1
1985,경제,남북경제회담,제2차 남북경제회담,중립,판문점 중립,중감위회의실,1985-05-17,1985-05-17,1
1985,경제,남북경제회담,제3차 남북경제회담,중립,판문점 중립,중감위회의실,1985-06-20,1985-06-20,1
1985,경제,남북경제회담,제4차 남북경제회담,중립,판문점 중립,중감위회의실,1985-09-18,1985-09-18,1
1985,경제,남북경제회담,제5차 남북경제회담,중립,판문점 중립,중감위회의실,1985-11-20,1985-11-20,1
1985,인도,남북적십자회담 본회담,제8차 남북적십자회담 본회담,남측,서울,쉐라톤워커힐호텔,1985-05-27,1985-05-30,4
1985,인도,남북적십자회담 본회담,제9차 남북적십자회담 본회담,북측,평양,인민문화궁전,1985-08-26,1985-08-29,4
1985,인도,남북적십자회담 본회담,제10차 남북적십자회담 본회담,남측,서울,쉐라톤워커힐호텔,1985-12-02,1985-12-05,4
1985,인도,제1차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제1차 고향방문 및 예술공연단 교환 관련 제1차 실무대표접촉,중립,판문점 중립,중감위회의실,1985-07-15,1985-07-15,1
1985,인도,제1차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제1차 고향방문 및 예술공연단 교환 관련 제2차 실무대표접촉,중립,판문점 중립,중감위회의실,1985-07-19,1985-07-19,1
1985,인도,제1차 고향방문 및 예술공연단 교환 관련 실무대표접촉,제1차 고향방문 및 예술공연단 교환 관련 제3차 실무대표접촉,중립,판문점 중립,중감위회의실,1985-08-22,1985-08-22,1
1985,사회문화,서울올림픽 관련 IOC중재 남북체육회담,서울올림픽 관련 IOC중재 제1차 남북체육회담,해외,스위스 로잔느,스위스 로잔느,1985-10-09,1985-10-10,2
1984,경제,남북경제회담,제1차 남북경제회담,중립,판문점 중립,중감위회의실,1984-11-15,1984-11-15,1
1984,인도,수해물자 인도·인수 관련 남북적십자 실무접촉,수해물자 인도·인수 관련 남북적십자 실무접촉,중립,판문점 중립,중감위회의실,1984-09-18,1984-09-18,1
1984,인도,남북적십자 본회담 재개를 위한 예비접촉,남북적십자 본회담 재개를 위한 예비접촉,중립,판문점 중립,중감위회의실,1984-11-20,1984-11-20,1
1984,사회문화,LA올림픽 단일팀 구성 관련 남북체육회담,LA올림픽 단일팀 구성 관련 제1차 남북체육회담,중립,판문점 중립,중감위회의실,1984-04-09,1984-04-09,1
1984,사회문화,LA올림픽 단일팀 구성 관련 남북체육회담,LA올림픽 단일팀 구성 관련 제2차 남북체육회담,중립,판문점 중립,중감위회의실,1984-04-30,1984-04-30,1
1984,사회문화,LA올림픽 단일팀 구성 관련 남북체육회담,LA올림픽 단일팀 구성 관련 제3차 남북체육회담,중립,판문점 중립,중감위회의실,1984-05-25,1984-05-25,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제1차 실무대표접촉,중립,판문점 중립,중감위회의실,1980-02-06,1980-02-06,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제2차 실무대표접촉,중립,판문점 북측,판문각,1980-02-19,1980-02-19,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제3차 실무대표접촉,중립,판문점 남측,자유의집,1980-03-04,1980-03-04,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제4차 실무대표접촉,중립,판문점 북측,판문각,1980-03-18,1980-03-18,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제5차 실무대표접촉,중립,판문점 남측,자유의집,1980-04-01,1980-04-01,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제6차 실무대표접촉,중립,판문점 북측,판문각,1980-04-18,1980-04-18,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제7차 실무대표접촉,중립,판문점 남측,자유의집,1980-05-06,1980-05-06,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제8차 실무대표접촉,중립,판문점 북측,판문각,1980-05-22,1980-05-22,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제9차 실무대표접촉,중립,판문점 남측,자유의집,1980-06-24,1980-06-24,1
1980,정치,남북총리회담을 위한 실무대표접촉,남북총리회담을 위한 제10차 실무대표접촉,중립,판문점 북측,판문각,1980-08-20,1980-08-20,1
1979,정치,변칙대좌,변칙대좌 제1차,중립,판문점 중립,중감위회의실,1979-02-17,1979-02-17,1
1979,정치,변칙대좌,변칙대좌 제2차,중립,판문점 중립,중감위회의실,1979-03-07,1979-03-07,1
1979,정치,변칙대좌,변칙대좌 제3차,중립,판문점 중립,중감위회의실,1979-03-14,1979-03-14,1
1979,사회문화,남북탁구협회 회의,남북탁구협회 제1차 회의,중립,판문점 중립,중감위회의실,1979-02-27,1979-02-27,1
1979,사회문화,남북탁구협회 회의,남북탁구협회 제2차 회의,중립,판문점 중립,중감위회의실,1979-03-05,1979-03-05,1
1979,사회문화,남북탁구협회 회의,남북탁구협회 제3차 회의,중립,판문점 중립,중감위회의실,1979-03-09,1979-03-09,1
1979,사회문화,남북탁구협회 회의,남북탁구협회 제4차 회의,중립,판문점 중립,중감위회의실,1979-03-12,1979-03-12,1
1977,인도,남북적십자 실무회의,남북적십자 제21차 실무회의,중립,판문점 중립,중감위회의실,1977-02-11,1977-02-11,1
1977,인도,남북적십자 실무회의,남북적십자 제22차 실무회의,중립,판문점 중립,중감위회의실,1977-04-28,1977-04-28,1
1977,인도,남북적십자 실무회의,남북적십자 제23차 실무회의,중립,판문점 중립,중감위회의실,1977-07-15,1977-07-15,1
1977,인도,남북적십자 실무회의,남북적십자 제24차 실무회의,중립,판문점 중립,중감위회의실,1977-10-14,1977-10-14,1
1977,인도,남북적십자 실무회의,남북적십자 제25차 실무회의,중립,판문점 중립,중감위회의실,1977-12-09,1977-12-09,1
1976,인도,남북적십자 실무회의,남북적십자 제15차 실무회의,중립,판문점 중립,중감위회의실,1976-02-12,1976-02-12,1
1976,인도,남북적십자 실무회의,남북적십자 제16차 실무회의,중립,판문점 중립,중감위회의실,1976-04-10,1976-04-10,1
1976,인도,남북적십자 실무회의,남북적십자 제17차 실무회의,중립,판문점 중립,중감위회의실,1976-06-09,1976-06-09,1
1976,인도,남북적십자 실무회의,남북적십자 제18차 실무회의,중립,판문점 중립,중감위회의실,1976-08-20,1976-08-20,1
1976,인도,남북적십자 실무회의,남북적십자 제19차 실무회의,중립,판문점 중립,중감위회의실,1976-10-19,1976-10-19,1
1976,인도,남북적십자 실무회의,남북적십자 제20차 실무회의,중립,판문점 중립,중감위회의실,1976-12-10,1976-12-10,1
1975,정치,남북조절위원회 부위원장회의,남북조절위원회 제9차 부위원장회의,중립,판문점 북측,판문각,1975-01-08,1975-01-08,1
1975,정치,남북조절위원회 부위원장회의,남북조절위원회 제10차 부위원장회의,중립,판문점 남측,자유의집,1975-03-14,1975-03-14,1
1975,인도,남북적십자 실무회의,남북적십자 제7차 실무회의,중립,판문점 중립,중감위회의실,1975-01-24,1975-01-24,1
1975,인도,남북적십자 실무회의,남북적십자 제8차 실무회의,중립,판문점 중립,중감위회의실,1975-02-28,1975-02-28,1
1975,인도,남북적십자 실무회의,남북적십자 제9차 실무회의,중립,판문점 중립,중감위회의실,1975-03-26,1975-03-26,1
1975,인도,남북적십자 실무회의,남북적십자 제10차 실무회의,중립,판문점 중립,중감위회의실,1975-05-08,1975-05-08,1
1975,인도,남북적십자 실무회의,남북적십자 제11차 실무회의,중립,판문점 중립,중감위회의실,1975-07-21,1975-07-21,1
1975,인도,남북적십자 실무회의,남북적십자 제12차 실무회의,중립,판문점 중립,중감위회의실,1975-08-22,1975-08-22,1
1975,인도,남북적십자 실무회의,남북적십자 제13차 실무회의,중립,판문점 중립,중감위회의실,1975-10-23,1975-10-23,1
1975,인도,남북적십자 실무회의,남북적십자 제14차 실무회의,중립,판문점 중립,중감위회의실,1975-11-28,1975-11-28,1
1974,정치,남북조절위원회 부위원장회의,남북조절위원회 제3차 부위원장회의,중립,판문점 북측,판문각,1974-01-30,1974-01-30,1
1974,정치,남북조절위원회 부위원장회의,남북조절위원회 제4차 부위원장회의,중립,판문점 남측,자유의집,1974-02-27,1974-02-27,1
1974,정치,남북조절위원회 부위원장회의,남북조절위원회 제5차 부위원장회의,중립,판문점 북측,판문각,1974-03-27,1974-03-27,1
1974,정치,남북조절위원회 부위원장회의,남북조절위원회 제6차 부위원장회의,중립,판문점 남측,자유의집,1974-04-24,1974-04-24,1
1974,정치,남북조절위원회 부위원장회의,남북조절위원회 제7차 부위원장회의,중립,판문점 북측,판문각,1974-06-28,1974-06-28,1
1974,정치,남북조절위원회 부위원장회의,남북조절위원회 제8차 부위원장회의,중립,판문점 남측,자유의집,1974-09-21,1974-09-21,1
1974,인도,남북적십자 실무대표접촉,남북적십자 제2차 실무대표접촉,중립,판문점 중립,중감위회의실,1974-02-25,1974-02-25,1
1974,인도,남북적십자 실무대표접촉,남북적십자 제3차 실무대표접촉,중립,판문점 중립,중감위회의실,1974-03-11,1974-03-11,1
1974,인도,남북적십자 실무대표접촉,남북적십자 제4차 실무대표접촉,중립,판문점 중립,중감위회의실,1974-04-03,1974-04-03,1
1974,인도,남북적십자 실무대표접촉,남북적십자 제5차 실무대표접촉,중립,판문점 중립,중감위회의실,1974-04-29,1974-04-29,1
1974,인도,남북적십자 실무대표접촉,남북적십자 제6차 실무대표접촉,중립,판문점 중립,중감위회의실,1974-05-22,1974-05-22,1
1974,인도,남북적십자 실무대표접촉,남북적십자 제7차 실무대표접촉,중립,판문점 중립,중감위회의실,1974-05-29,1974-05-29,1
1974,인도,남북적십자 실무회의,남북적십자 제1차 실무회의,중립,판문점 중립,중감위회의실,1974-07-10,1974-07-10,1
1974,인도,남북적십자 실무회의,남북적십자 제2차 실무회의,중립,판문점 중립,중감위회의실,1974-07-24,1974-07-24,1
1974,인도,남북적십자 실무회의,남북적십자 제3차 실무회의,중립,판문점 중립,중감위회의실,1974-08-28,1974-08-28,1
1974,인도,남북적십자 실무회의,남북적십자 제4차 실무회의,중립,판문점 중립,중감위회의실,1974-09-25,1974-09-25,1
1974,인도,남북적십자 실무회의,남북적십자 제5차 실무회의,중립,판문점 중립,중감위회의실,1974-11-05,1974-11-05,1
1974,인도,남북적십자 실무회의,남북적십자 제6차 실무회의,중립,판문점 중립,중감위회의실,1974-11-29,1974-11-29,1
1973,정치,남북조절위원회 간사회의,남북조절위원회 제1차 간사회의,중립,판문점 북측,판문각,1973-03-10,1973-03-10,1
1973,정치,남북조절위원회 간사회의,남북조절위원회 제2차 간사회의,중립,판문점 남측,자유의집,1973-04-24,1973-04-24,1
1973,정치,남북조절위원회 간사회의,남북조절위원회 제3차 간사회의,중립,판문점 북측,판문각,1973-05-23,1973-05-23,1
1973,정치,남북조절위원회 본회담,남북조절위원회 제2차 본회담,북측,평양,모란봉초대소,1973-03-14,1973-03-16,3
1973,정치,남북조절위원회 본회담,남북조절위원회 제3차 본회담,남측,서울,영빈관,1973-06-12,1973-06-14,3
1973,정치,남북조절위원회 부위원장회의,남북조절위원회 제1차 부위원장회의,중립,판문점 북측,판문각,1973-12-05,1973-12-05,1
1973,정치,남북조절위원회 부위원장회의,남북조절위원회 제2차 부위원장회의,중립,판문점 남측,자유의집,1973-12-19,1973-12-19,1
1973,인도,남북적십자회담 본회담,제5차 남북적십자회담 본회담,북측,평양,대동강회관,1973-03-20,1973-03-23,4
1973,인도,남북적십자회담 본회담,제6차 남북적십자회담 본회담,남측,서울,대한적십자사 회담사무국,1973-05-08,1973-05-11,4
1973,인도,남북적십자회담 본회담,제7차 남북적십자회담 본회담,북측,평양,대동강회관,1973-07-10,1973-07-13,4
1973,인도,남북적십자 실무대표접촉,남북적십자 제1차 실무대표접촉,중립,판문점 중립,중감위회의실,1973-11-28,1973-11-28,1
1972,정치,남북조절위원회 공동위원장회의,남북조절위원회 제1차 공동위원장회의,중립,판문점 남측,자유의집,1972-10-12,1972-10-12,1
1972,정치,남북조절위원회 공동위원장회의,남북조절위원회 제2차 공동위원장회의,북측,평양,만수대의사당,1972-11-02,1972-11-04,3
1972,정치,남북조절위원회 공동위원장회의,남북조절위원회 제3차 공동위원장회의,남측,서울,영빈관,1972-11-30,1972-11-30,1
1972,정치,남북조절위원회 본회담,남북조절위원회 제1차 본회담,남측,서울,영빈관,1972-11-30,1972-12-02,3
1972,인도,남북적십자 예비회담,남북적십자 제14차 예비회담,중립,판문점 중립,중감위회의실,1972-01-10,1972-01-10,1
1972,인도,남북적십자 예비회담,남북적십자 제15차 예비회담,중립,판문점 중립,중감위회의실,1972-01-19,1972-01-19,1
1972,인도,남북적십자 예비회담,남북적십자 제16차 예비회담,중립,판문점 중립,중감위회의실,1972-01-28,1972-01-28,1
1972,인도,남북적십자 예비회담,남북적십자 제17차 예비회담,중립,판문점 중립,중감위회의실,1972-02-03,1972-02-03,1
1972,인도,남북적십자 예비회담,남북적십자 제18차 예비회담,중립,판문점 중립,중감위회의실,1972-02-10,1972-02-10,1
1972,인도,남북적십자 예비회담,남북적십자 제19차 예비회담,중립,판문점 중립,중감위회의실,1972-02-17,1972-02-17,1
1972,인도,남북적십자 예비회담,남북적십자 제20차 예비회담,중립,판문점 중립,중감위회의실,1972-06-16,1972-06-16,1
1972,인도,남북적십자 예비회담,남북적십자 제21차 예비회담,중립,판문점 중립,중감위회의실,1972-07-10,1972-07-10,1
1972,인도,남북적십자 예비회담,남북적십자 제22차 예비회담,중립,판문점 중립,중감위회의실,1972-07-14,1972-07-14,1
1972,인도,남북적십자 예비회담,남북적십자 제23차 예비회담,중립,판문점 중립,중감위회의실,1972-07-19,1972-07-19,1
1972,인도,남북적십자 예비회담,남북적십자 제24차 예비회담,중립,판문점 중립,중감위회의실,1972-07-26,1972-07-26,1
1972,인도,남북적십자 예비회담,남북적십자 제25차 예비회담,중립,판문점 중립,중감위회의실,1972-08-11,1972-08-11,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제1차 실무회의,중립,판문점 중립,중감위회의실,1972-02-21,1972-02-21,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제2차 실무회의,중립,판문점 중립,중감위회의실,1972-02-24,1972-02-24,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제3차 실무회의,중립,판문점 중립,중감위회의실,1972-02-28,1972-02-28,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제4차 실무회의,중립,판문점 중립,중감위회의실,1972-03-06,1972-03-06,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제5차 실무회의,중립,판문점 중립,중감위회의실,1972-03-10,1972-03-10,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제6차 실무회의,중립,판문점 중립,중감위회의실,1972-03-17,1972-03-17,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제7차 실무회의,중립,판문점 중립,중감위회의실,1972-03-24,1972-03-24,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제8차 실무회의,중립,판문점 중립,중감위회의실,1972-04-17,1972-04-17,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제9차 실무회의,중립,판문점 중립,중감위회의실,1972-05-09,1972-05-09,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제10차 실무회의,중립,판문점 중립,중감위회의실,1972-05-12,1972-05-12,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제11차 실무회의,중립,판문점 중립,중감위회의실,1972-05-19,1972-05-19,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제12차 실무회의,중립,판문점 중립,중감위회의실,1972-05-22,1972-05-22,1
1972,인도,남북적십자 의제문안 실무회의,남북적십자 의제문안 제13차 실무회의,중립,판문점 중립,중감위회의실,1972-06-05,1972-06-05,1
1972,인도,남북적십자 진행절차 실무회의,남북적십자 진행절차 제1차 실무회의,중립,판문점 중립,중감위회의실,1972-07-27,1972-07-27,1
1972,인도,남북적십자 진행절차 실무회의,남북적십자 진행절차 제2차 실무회의,중립,판문점 중립,중감위회의실,1972-08-03,1972-08-03,1
1972,인도,남북적십자 진행절차 실무회의,남북적십자 진행절차 제3차 실무회의,중립,판문점 중립,중감위회의실,1972-08-09,1972-08-09,1
1972,인도,남북적십자회담 본회담,제1차 남북적십자회담 본회담,북측,평양,대동강회관,1972-08-29,1972-09-02,5
1972,인도,남북적십자회담 본회담,제2차 남북적십자회담 본회담,남측,서울,조선호텔,1972-09-12,1972-09-16,5
1972,인도,남북적십자회담 본회담,제3차 남북적십자회담 본회담,북측,평양,대동강회관,1972-10-23,1972-10-26,4
1972,인도,남북적십자회담 본회담,제4차 남북적십자회담 본회담,남측,서울,대한적십자사 회담사무국,1972-11-22,1972-11-24,3
1971,인도,남북적십자 파견원 접촉,남북적십자 파견원 제1차 접촉,중립,판문점 중립,중감위회의실,1971-08-20,1971-08-20,1
1971,인도,남북적십자 파견원 접촉,남북적십자 파견원 제2차 접촉,중립,판문점 중립,중감위회의실,1971-08-26,1971-08-26,1
1971,인도,남북적십자 파견원 접촉,남북적십자 파견원 제3차 접촉,중립,판문점 중립,중감위회의실,1971-08-30,1971-08-30,1
