년대,날짜,내용
1990년대,1997-12-11,"이성호 북적 위원장대리, 제4차 북경 남북적십자 대표접촉 12. 22 동의 대남전통문 발송"
1990년대,1998-01-07,"북적 위원장대리, 비전향장기수 송환 요구 대남전통문"
1990년대,1998-02-25,"김대중 대통령 취임사, 이산가족의 생사확인 및 서신교환 촉구"
1990년대,1998-03-01,"김대중 대통령 3·1절 기념사, 「남북특사교환, 이산가족 생사확인, 상봉실현」촉구"
1990년대,1998-04-04,"북적 위원장 대리, 비료지원 요청 관련 남북 당국대표회담 제의 대남서한"
1990년대,1998-04-06,"한적 총재, 북한의 남북당국대표회담 개최 제의 수락 및 수정 제의"
1990년대,1998-04-07,"북적 위원장 대리, 남북당국대표회담 개최 장소 북경 고집 대남서한"
1990년대,1998-04-08,"한적 총재, 남북당국대표회담 북경 개최 동의 및 대표단 명단통보 대북서한"
1990년대,1998-04-10,"북적위원장대리, 남북 당국대표회담 대표단 명단 통보 대남서한"
1990년대,1998-04-11,"남북당국대표회담 - 이산가족 문제의 우선적 해결을 위해 이산가족 면회소, 우편물 교환소 설치, 고령이산가족의 개별방문, 상봉 및 시범적 사업으로 고향방문단 교환 제의 - 북측에 대한 비료 지원과 이산가족 면회소 설치 문제의 일괄 타결 제의＊북측의 일방적 불참 선언으로 회담 결렬"
1990년대,1998-06-16,정주영 현대 명예회장 판문점 경유 방북 - 한우 500두 대북지원(판문점 경유)
1990년대,1998-08-12,"한적 정원식 총재, 이산가족 문제의 조속한 해결을 촉구하는 대북성명 발표"
1990년대,1998-09-01,고령 이산가족 방북절차를 신고제로 전환
1990년대,1998-09-25,이산가족정보통합센타 개소(이북5도위)
1990년대,1998-09-30,국군포로 장무환씨 귀환
1990년대,1998-10-27,정주영 현대 명예회장 판문점 경유 방북 - 기탁 2차분 한우 501두 대북지원(판문점 경유)
1990년대,1998-11-17,금강산 관광지원을 위한 통신망 개통(6회선)
1990년대,1998-11-25,"한적 정원식 총재, 대북 전화통지문 발송 - 남북적십자 사무총장 접촉 제의"
1990년대,1998-11-27,"이성호 북한적십자회 위원장 대리, 대남 전화통지문 발송 - 11.25 우리측 제의에 대한 회신(거부)"
1990년대,1998-12-01,"제198회 국회 통일외교통상위원회, 남북이산가족의 생사확인 및 상봉촉구 대북결의안 채택"
1990년대,1998-12-14,"박준규 국회의장, 대북 서한 발송 - 남북이산가족 생사확인 및 상봉 촉구 국회결의문 전달"
1990년대,1999-02-23,"북적, 대남서한 발송, 비전향장기수 석방 및 북송 요구"
1990년대,1999-03-25,"외교통상부장관, 제56차 유엔인권위원회에서 북한내 인권문제 제기 - 이산가족문제, 국군포로 및 납북자문제 해결 촉구"
1990년대,1999-05-31,"통일부, 이산가족의 북한주민접촉 신청 절차 간소화 발표"
1990년대,1999-06-26,"김대중 대통령, 이산가족과 비료지원 연계 추진 입장 표명 - 이산가족 면회사업 추진이 안되면 비료 10만톤 지원할 수 없다고 언급(미국 외교 협회 인사 접견시)"
1990년대,1999-08-12,"한적 총재 남북적십자회담 제의 28주년 성명, 이산가족문제를 협의키로 한 ‘6·3합의’의 성실한 이행을 촉구"
1990년대,1999-08-31,"북적, 대남서한, 김인서(출소남파간첩 등 공안사범) 송환 요구"
1990년대,1999-11-02,"북적, 비전향장기수 송환을 촉구하는 편지를 정원식 한적 총재 앞으로 전달"
1990년대,1999-11-24,"한적 총재 대북서한, 남북간 인도적 문제를 공정한 대화 통해 해결 기대"
2000년대,2000-03-09,"김대중 대통령, 「베를린 선언」발표 - 북한의 경제회복 지원, 한반도 냉전종식과 평화정책 추구, 이산가족문제 해결, 남북당국간 대화 및 특사 교환 촉구"
2000년대,2000-06-13,남북정상회담「남북공동선언」채택 - 이산가족 방문단 상호 교환 합의
2000년대,2000-06-27,제1차 남북적십자회담 -「 남북이산가족방문단 교환과 면회소 설치·운영 및 비전향장기수 송환에 관한 합의서」채택
2000년대,2000-08-08,"정몽헌 현대아산회장, 소 500마리 동반 방북"
2000년대,2000-08-15,"제1차 이산가족방문단 교환(서울, 평양)"
2000년대,2000-08-29,제2차 남북장관급회담(평양)
2000년대,2000-09-02,비전향장기수 63명 송환
2000년대,2000-09-14,"북측, 김용순 특사 방한(9.11-14) 공동보도문 발표"
2000년대,2000-09-20,제2차 남북적십자회담(금강산) - 「제2차 남북적십자회담 합의서」 채택
2000년대,2000-09-27,제3차 남북장관급회담(제주도)
2000년대,2000-11-30,"제2차 이산가족방문단 교환(서울, 평양)"
2000년대,2000-12-07,"서울 가정법원, 북한주민에 대해 남한 호적등재 승인"
2000년대,2000-12-10,"북적, 제3차 남북적십자회담을 2001년으로 연기 제의 대남전통문"
2000년대,2000-12-12,제4차 남북장관급회담(평양)
2000년대,2001-01-12,"북적, 제3차 적십자회담 개최 제의(1. 29 ~ 31) 대남전통문"
2000년대,2001-01-29,제3차 남북적십자회담 개최(금강산)
2000년대,2001-02-23,제2차 이산가족 생사 주소 확인 작업 결과 통보
2000년대,2001-02-26,"제3차 이산가족방문단 상호 교환방문(서울, 평양)"
2000년대,2001-03-15,판문점을 통해 이산가족 서신교환(각 300통) 실시
2000년대,2001-08-10,"한적 대북성명, 남북적십자회담 조속 개최 제의"
2000년대,2001-09-15,제5차 남북장관급회담(서울)
2000년대,2001-09-20,"북적 대남전통문, 제1차 남북적십자 실무접촉 대표단명단 통보 요청"
2000년대,2001-09-21,"한적 대북전통문, 제4차 이산가족방문단 교환 일정 제의"
2000년대,2001-09-22,"한적 대북전통문, 제4차 이산가족방문단 교환 일정 수정"
2000년대,2001-10-09,제4차 이산가족방문단 명단 교환
2000년대,2001-10-12,"북한 조평통 대변인 담화, 이산가족방문단 태권도 시범단 연기 및 모든 당국자 회담 금강산 개최 주장"
2000년대,2001-10-12,"통일부 대변인 논평, 북측의 남북이산가족방문단 및 태권도 시범단 방문 연기 발표 유감"
2000년대,2001-10-16,"남북장관급회담 수석대표 대북전통문, 제4차 이산가족 방문단교환 촉구"
2000년대,2001-11-22,"북적 대변인 담화, 이산가족방문단 교환 위한 환경 조성 촉구"
2000년대,2001-12-11,"한적 대북전통문, 남북적십자실무접촉 제의"
2000년대,2001-12-29,"한적 총재 북적 위원장에게 연하장 발송, 남북적십자간 공고한 협력 관계 구축 희망"
2000년대,2002-01-29,"한적 대북전통문, 제4차 이산가족방문단 교환 제의"
2000년대,2002-04-05,"임동원 특사 방북, 공동보도문 발표"
2000년대,2002-04-11,"한적 대북전통문, 제4차 이산가족방문단 교환 절차 협의 제의"
2000년대,2002-04-28,제4차 이산가족상봉(금강산)
2000년대,2002-08-02,남북장관급회담 실무대표접촉(금강산)
2000년대,2002-08-12,제7차 남북장관급회담(서울)
2000년대,2002-08-17,"한적 대북전통문, 제5차 이산가족상봉 교환 제의"
2000년대,2002-08-19,"판문점 적십자 연락관 접촉, 제5차 이산가족상봉 관련 일자 등 합의"
2000년대,2002-08-23,"한적 대북전통문, 제5차 이산가족 상봉 제의"
2000년대,2002-08-24,"북적 대남전통문, 제4차 남북적십자회담 개최 동의"
2000년대,2002-09-03,"북적 대남전통문, 제4차 적십자회담 연기 제의"
2000년대,2002-09-03,"한적 대북전통문, 제4차 남북적십자회담 연기 제의 동의"
2000년대,2002-09-06,"제4차 남북적십자회담(금강산), 「제4차 남북적십자회담 합의서」 채택"
2000년대,2002-09-13,제5차 이산가족상봉(금강산)
2000년대,2002-10-08,"한적 대북전통문, 제5차 남북적십자회담 개최 제의"
2000년대,2002-10-09,"북적 대남전통문, 남측의 제5차 남북적십자회담 제의 수정 제의"
2000년대,2002-10-11,"북적 대남전통문, 남측의 제5차 남북적십자회담 일자 수정제의"
2000년대,2002-10-24,"한적 대북전통문, 남북적십자실무접촉 수정 제의 (10.31)"
2000년대,2002-10-31,제1차 남북적십자실무접촉(금강산)
2000년대,2002-12-04,"판문점 적십자 연락관 접촉, 남북적십자실무접촉 재개 관련 북측 입장 타진"
2000년대,2002-12-06,"북적 대남전통문, 제2차 적십자실무접촉 제의"
2000년대,2002-12-09,"한적 대북전통문, 제2차 남북적십자실무접촉 개최 제의 동의"
2000년대,2002-12-15,제2차 남북적십자실무접촉(금강산)
2000년대,2003-01-06,"한적 총재 대북전통문, 제3차 적십자실무접촉 제의"
2000년대,2003-01-09,"북적 대남전통문, 제3차 적십자실무접촉 동의"
2000년대,2003-01-20,제3차 남북적십자실무접촉 -「 제3차 남북적십자실무접촉 합의서」채택
2000년대,2003-01-26,"남북적십자사, 제6차 이산가족상봉(2.22~25, 금강산) 후보자 명단 각각 200명 교환"
2000년대,2003-02-04,"한적 대북전통문, 제1차 금강산면회소 건설추진단회의 일자 수정 제의"
2000년대,2003-02-05,"북적 대남전통문, 제1차 금강산면회소 건설추진단회의 개최 동의"
2000년대,2003-02-13,제1차 금강산면회소 건설추진단 회의(금강산)
2000년대,2003-02-14,"북적 대남전통문, 육로 통한 이산가족상봉 동의"
2000년대,2003-02-20,제6차 이산가족상봉행사(금강산)
2000년대,2003-02-26,"판문점 연락관 협의, 금강산면회소 건설추진단 제2차 회의 개최협의"
2000년대,2003-03-03,제2차 금강산면회소 건설추진단 회의(금강산)
2000년대,2003-04-27,제10차 남북장관급회담(평양)
2000년대,2003-06-15,"제7차 이산가족 상봉단(6.27, 금강산) 명단 교환"
2000년대,2003-06-24,"한적 총재, 제7차 이산가족상봉행사에 해외거주가족의 참가 허용촉구"
2000년대,2003-06-27,제7차 남북이산가족상봉행사(금강산)
2000년대,2003-06-27,"한적 총재, 북적에 납북자 및 실종언론인 생사확인 요청"
2000년대,2003-06-29,"한적 총재, 북적에 6.25 전쟁 중 납북되거나 실종된 언론인 225명의 명단을 전달하고 이들의 생사확인 요청"
2000년대,2003-07-09,제11차 남북장관급회담(서울)
2000년대,2003-07-22,"한적 총재, 제8차 이산가족상봉행사 개최 제의"
2000년대,2003-08-14,"북적 대남전통문, 제8차 이산가족상봉행사 관련 남측제의 일정에 동의"
2000년대,2003-08-17,"대한적십자사, 제8차 이산가족 상봉행사(9.20～25) 북측후보 200명 명단 공개"
2000년대,2003-08-21,제3차 금강산면회소 건설추진단 회의(금강산)
2000년대,2003-09-05,제1차 금강산면회소건설 당국간 비공개 접촉(금강산)
2000년대,2003-09-20,제8차 이산가족상봉행사(금강산)
2000년대,2003-10-23,제2차 금강산면회소건설 당국간 비공개 접촉(금강산) - 건설방법·설계 등 면회소 관련 제반사항 합의
2000년대,2003-10-28,"한적 총재, 제5차 남북적십자회담 개최 제의"
2000년대,2003-10-29,"북적 대남전통문, 제5차 남북적십자회담 개최일자 수정 제의"
2000년대,2003-10-31,"한적 대북전통문, 제5차 남북적십자회담 개최 관련 북측의 개최 일자 수정 제의에 동의"
2000년대,2003-11-04,제5차 남북적십자회담(금강산) - 「금강산면회소 건설에 관한 합의서」 채택
2000년대,2003-11-15,금강산면회소 건설부지 측량 및 지질조사를 위한 남북 실무자 접촉(금강산)
2000년대,2003-12-08,"통일부, 이산가족 면회소 관련 2004년 상반기 공사 시작, 2005년 말 완공 계획임을 보도"
2000년대,2003-12-29,"한적 총재, 금강산면회소 계획 설계 통보 및 측량 지질조사 실무협의 제의"
2000년대,2004-01-15,측량 지질조사를 위한 제1차 실무협의(금강산)
2000년대,2004-02-06,제13차 남북장관급회담(서울)
2000년대,2004-02-24,측량 지질조사를 위한 제2차 실무협의(금강산)
2000년대,2004-03-15,"남북 양측 적십자사, 제9차 이산가족 상봉단 후보자 각각 200명에 대한 생사 및 주소 확인 결과 회보서 교환"
2000년대,2004-03-18,"남북, 9차 이산가족 상봉 최종명단 교환"
2000년대,2004-04-01,제9차 남북이산가족 상봉행사
2000년대,2004-04-03,"정세현 통일부 장관 긴급 브리핑, 우리 측 지원인원 발언 사과"
2000년대,2004-05-04,제14차 남북장관급회담
2000년대,2004-05-14,"한적, 제10차 남북이산가족상봉행사 제의"
2000년대,2004-05-24,제4차 남북적십자실무접촉(금강산)
2000년대,2004-06-07,"남북적십자 총재, 제10차 이산가족 상봉행사를 7. 11 ~ 16 개최키로 합의"
2000년대,2004-06-09,"남북, 제10차 이산가족 생사 확인 의뢰서 교환"
2000년대,2004-07-11,제10차 남북이산가족 상봉행사(금강산)
2000년대,2004-11-12,"한적, 이산가족 사망자 107명 기일 대북통보"
2000년대,2004-11-19,"북적, 금강산면회소 건설관련 실무접촉 제의"
2000년대,2004-11-25,금강산 면회소건설 실무협의 개최
2000년대,2004-12-09,"북적, 금강산 면회소 지질·측량 조사 연기 요청"
2000년대,2004-12-16,"한완상 신임 한적 총재, 이산가족 상봉 정례화 北과 협의 의지표명"
2000년대,2005-06-07,"한완상 한적 총재, 북한 아태평화위 리종혁 위원장과 이산가족 상봉생사·면회소 조기 착공 등 의견 교환"
2000년대,2005-06-21,제15차 남북장관급회담
2000년대,2005-06-24,남북적십자간 교류협력에 관한 합의서 서명
2000년대,2005-07-12,이산가족 화상상봉 시범실시를 위한 실무접촉(개성)
2000년대,2005-07-18,이산가족면회소 건설 관련 측량 및 지질조사
2000년대,2005-08-15,제1차 남북이산가족 화상상봉
2000년대,2005-08-23,제6차 남북적십자회담(금강산)
2000년대,2005-08-26,제11차 남북이산가족 상봉행사(금강산)
2000년대,2005-08-31,이산가족 금강산 면회소 착공식
2000년대,2005-09-13,제16차 남북장관급회담
2000년대,2005-10-05,제2차 이산가족 화상상봉 적십자 실무접촉(개성)
2000년대,2005-10-07,제3차 이산가족 화상상봉 적십자 실무접촉(개성)
2000년대,2005-11-05,제12차 남북이산가족 상봉행사(금강산)
2000년대,2005-11-24,제2차 이산가족 화상상봉
2000년대,2005-12-08,제3차 이산가족 화상상봉
2000년대,2005-12-13,제17차 남북장관급회담
2000년대,2006-02-21,제7차 남북적십자회담(금강산)
2000년대,2006-02-27,제4차 이산가족 화상상봉 행사
2000년대,2006-03-17,남북적십자실무접촉(금강산)
2000년대,2006-03-20,제13차 남북이산가족 상봉행사
2000년대,2006-06-19,제14차 남북이산가족 상봉행사
2000년대,2006-11-06,한완상 한국적십자사 총재 ‘조건없는 이산가족 상봉 재개’ 촉구
2000년대,2007-03-09,이산가족면회소 건설 추진을 위한 남북적십자 제6차 실무접촉(금강산)
2000년대,2007-03-21,이산가족면회소 공사 재개(금강산)
2000년대,2007-03-27,제5차 이산가족 화상상봉 행사
2000년대,2007-04-10,제8차 남북적십자회담(금강산)
2000년대,2007-05-09,제15차 남북이산가족 상봉행사
2000년대,2007-08-02,제1차 남북정상회담 개최관련 남북 특사 접촉(평양)
2000년대,2007-08-04,제2차 남북정상회담 개최관련 남북 특사 접촉(평양)
2000년대,2007-08-13,제6차 이산가족 화상상봉 행사
2000년대,2007-08-14,제1차 남북정상회담 관련 분야별 실무접촉(개성)
2000년대,2007-08-16,제2차 남북정상회담 관련 분야별 실무접촉(개성)
2000년대,2007-10-02,"남북정상회담(평양, 백화원초대소)"
2000년대,2007-10-17,제16차 남북이산가족 상봉행사
2000년대,2007-11-14,제7차 이산가족 화상상봉 행사
2000년대,2007-11-28,제9차 남북적십자회담(금강산)
2000년대,2007-12-07,금강산면회소 사무소 준공
2000년대,2008-02-05,남북 이산가족 영상편지 교환에 관한 합의서 교환
2000년대,2008-03-29,남북 당국간 대화와 접촉 거부
2000년대,2008-04-29,한적 직원 금강산 면회소 출입 금지 조치 통보
2000년대,2008-07-11,"금강산 관광객 북한군 총격으로 사망. 남, 현장조사 요구 및 금강산 관광 잠정 중단"
2000년대,2008-07-12,금강산면회소 완공(7.21 조달청 준공검사
2000년대,2008-08-09,북한 남측 인원 추방 조치 8월10일부터 실시 발표
2000년대,2008-11-12,"북적, 판문점 적십자연락대표부 폐쇄, 북한측 대표 철수, 판문점을 경유한 남북 직통전화 단절 발표<UN 북한인권결의안 상정(11.11) 직후>"
2000년대,2008-11-24,"남북 장성급군사회담 북측 단장, 12월1일자로 개성관광 전면차단 및 개성공단, 금강산관광지구의 남한 당국관련 상주인원 및 차량에 대한 선별 추방 통보"
2000년대,2008-12-01,"북측 군사분계선 육상통행에 대한 엄격 제한, 차단조치 실시"
2000년대,2009-03-30,"북한, 현대아산 직원 체제비판 혐의로 체포, 조사"
2000년대,2009-08-26,남북적십자회담 개최(추석계기 이산가족상봉 합의)
2000년대,2009-09-26,추석계기 이산가족상봉
2000년대,2009-10-16,"남북적십자실무접촉(개성), 이산가족문제 등 인도적 사안 협의"
2000년대,2009-11-02,이산가족정보통합센터 자료 현행화 시작
2010년대,2010-04-08,"북한, 금강산면회소 등 동결, 관리인원 추방 성명발표"
2010년대,2010-04-09,"한적, 북측 동결조치에 대해 유감표명 및 즉시 철회 촉구"
2010년대,2010-04-13,"북한, 면회소 시설 동결 조치 및 관리인원 추방"
2010년대,2010-05-25,"북한, 판문점적십자연락대표부 전면 폐쇄 조치"
2010년대,2010-08-11,"한적, 대승호 선원 조기송환 촉구"
2010년대,2010-08-20,"한적, 대승호 선원 조기 송환 재촉구"
2010년대,2010-09-07,대승호 선원 귀환
2010년대,2010-09-17,"남북적십자 실무접촉(1차, 개성)"
2010년대,2010-09-24,"남북적십자 실무접촉(2차, 개성)"
2010년대,2010-10-01,"남북적십자 실무접촉(3차, 개성), 금강산 이산가족상봉 합의"
2010년대,2010-10-30,제18차 이산가족 상봉행사
2010년대,2010-11-24,"남북적십자회담 무기연기, 인도적 지원 중단"
2010년대,2011-01-06,"한적 총재, 서해 표류 북한주민 3명 판문점 통해 인도"
2010년대,2011-01-08,"북 조평통 대변인 담화, 적십자회담 재개 제의"
2010년대,2011-01-10,"북적, 적십자 회담 제의(2. 1, 문산)"
2010년대,2011-01-12,"북, 판문점 남북적십자 연락 사무소 8개월만에 재개통"
2010년대,2011-02-01,"북적, 적십자회담 재요구(1.10자 회담 제의 관련)"
2010년대,2011-02-05,북한 주민 31명 탑승 어선 연평도 동북쪽으로 남하
2010년대,2011-02-07,"북적, 주민 31명 전원과 선박 송환 요청"
2010년대,2011-02-08,"북적, 전원 송환 재 촉구"
2010년대,2011-02-09,"한적, 북측의 회담제의에 대한 답신 - 개최 원칙은 동의, 구체적 일자 및 장소는 남북고위급군사회담 이후에 쌍방의 협의"
2010년대,2011-03-03,"한적, 북한주민 27명 송환(3.4 11시 판문점)할 계획임을 통지 - 귀순을 희망하는 4명에 대해서는 자유의사 존중하여 처리"
2010년대,2011-03-03,"북적, 31명 전원 송환 촉구"
2010년대,2011-03-04,판문점을 통한 송환 불발(북측이 응하지 않음)
2010년대,2011-03-07,"북적, 송환 해결을 위한 남북적십자실무접촉 제의 - 동접촉에 귀순의사 밝힌 4명의 가족이 함께 나올 것이며, 우리측도 당사자 4명을 데리고 나올 것을 요구"
2010년대,2011-03-07,"한적, 희망자 27명 3.7(월) 16시 판문점을 통해 송환예정 통지 - 27명 송환후 4명의 자유의사 확인 문제는 협의 가능함"
2010년대,2011-03-08,"북적, 4명에 에 대해 판문점에서 대면할 것을 재차 요청"
2010년대,2011-03-09,"북 월선주민 가족 일동, 통일부장관·대한적십자사 총재앞 편지 전달 - 31명 전원 송환 및 4명에 대해 대면 요청"
2010년대,2011-03-11,"한적, 북 가족 편지 전달 요청에 대한 ‘한적’ 입장 전달 - 남북의 가족간 편지를 전달하는 새로운 관례를 만들어 나간다는 차원에서 북한측이 이러한 원칙에 동의한다면, 북측 가족의 편지를 당사자에게 전달할 것임을 통지"
2010년대,2011-03-15,"북측, 주민 27명 해상송환 우선 요청"
2010년대,2011-03-16,"한적, 북한 주민 27명 내일 해상 송환 통지(선박고장으로 미성사)"
2010년대,2011-03-25,"한적, 3.27 해상송환 예정 통보"
2010년대,2011-03-27,"북한 주민 27명, 서해 연평도 인근 북방한계선상에서 선박과 함께 북측으로 귀환"
2010년대,2011-03-30,"북적, 귀순자 4명 대면확인 및 송환문제 협의를 위한 적십자실무접촉 요구"
2010년대,2011-04-01,"북적, 귀순자 4명 대면확인 및 송환문제 협의를 위한 적십자실무접촉 재차 요구"
2010년대,2011-04-01,"한적, 귀순자 4명 관련 적십자실무접촉 제의 우리측 입장 전달 - 인도주의 원칙에 따라 자유의사를 존중해 처리한 귀순자 송환문제 협의 불필요"
2010년대,2011-04-22,"북적, 귀순자 4명 문제 해결을 위한 적십자실무접촉 재차 요구"
2010년대,2011-04-27,"한적, 적십자실무접촉 제의 - 5.4 판문점 평화의 집에서 적십자 실무접촉을 가질 것을 제의"
2010년대,2011-06-16,"북적, 월선 주민 9명 송환 요구"
2010년대,2011-06-16,"한적, 월선 주민 9명 조사 중이며, 모두 귀순희망을 원해 본인들의 의사에 따라 처리할 예정임을 통지"
2010년대,2011-07-14,"북적, 한적에 남한주민사체 1구 인도 통지"
2010년대,2011-07-14,"한적, 사체 인수 회신(7.15 11:00 판문점 통해 인수)"
2010년대,2011-08-08,"한적, 북적에 북한 주민 사체 및 유류품 인도 통지(8.10 09:50 판문점 통해 인도)"
2010년대,2011-08-12,"한적, 북적에 전마선 2척 및 승선인원 4명 보호하고 있으며, 4명을 송환하겠다고 통지(18:30 판문점을 통해 송환)"
2010년대,2011-08-18,"한적, 북적에 무동력 목선 1척 및 승선인원 2명 보호하고 있으며, 2명을 송환하겠다고 통지(18:30 판문점을 통해 송환 완료)"
2010년대,2011-08-19,"한적, 북한주민 사체 1구 북적에 인도 통지(8.22 15:00 판문점 통해 인도)"
2010년대,2011-08-23,금강산 체류 우리 국민 14명 철수
2010년대,2011-10-05,"북적, 한적에 남강원도 해상 표류 선박 1척(목선, 2t급)과 주민 2명 송환 요구"
2010년대,2011-10-06,"한적, 북적에 동해상 귀순 인원 2명 자유의사 존중하여 처리할 것임 통보"
2010년대,2011-10-06,"북적, 한적에 주민 2명의 신원을 밝힐 것과 일본을 통해 귀순한 9명의 주민들까지 전원 송환할 것을 요구"
2010년대,2011-11-25,"한적, 북적에 서해상 표류 월선한 무동력 목선 1척과 주민 1명을 송환 하겠다고 통지"
2010년대,2011-11-25,"북적, 주민 1명과 선박 서해해상을 통해 받겠다고 회신(11.25 17:00 소환 완료)"
2010년대,2012-02-14,"한적, 북적에 이산가족상봉 관련 남북적십자간 실무접촉 제의(미전달)"
2010년대,2012-08-08,"한적, 추석계기 이산가족 상봉 개최를 위한 남북적십자 실무접촉 제의"
2010년대,2012-08-09,"북적, 5.24 조치 해제, 금강산관광 재개 구실로 우리측 제의 거부"
2010년대,2013-03-08,"북한 불가침에 관한 모든 합의 전면 폐기, 비핵화공동선언 완전 백지화, 판문점 적십자 채널 중단 발표"
2010년대,2013-03-11,"북, 판문점 직통전화 단절"
2010년대,2013-08-15,"대통령, 8·15 경축사를 통해 추석전후 이산가족상봉 제의"
2010년대,2013-08-16,"한적, 이산가족 상봉관련 남북적십자사 실무접촉 제의"
2010년대,2013-08-18,"北, 이산가족 상봉 적십자 실무접촉(8.23) 장소를 금강산으로 수정 제의(조평통 대변인 담화)"
2010년대,2013-08-19,"南 통지문, 적십자 실무접촉 장소를 평화의 집으로 재차 제의"
2010년대,2013-08-20,"北, 이산가족 상봉문제와 금강산 관광과 연계, 실무접촉 장소를 ‘금강산’ 재차 제의"
2010년대,2013-08-23,"南, 적십자 실무접촉은 금강산 문제와 별개 사안으로 8.23, 판문점에서 개최하고, 금강산 관광 실무회담은 9월 25일 금강산개최 제의"
2010년대,2013-08-28,이산가족 상봉행사 관련 금강산 시설 점검 실시
2010년대,2013-08-29,"이산가족 상봉 관련, 남북 ‘생사확인 의뢰서‘(南 250명, 北 200명) 교환"
2010년대,2013-09-03,"南, 이산가족 숙소로 외금강호텔·금강산호텔 사용 입장 전달,(판문점 연락관 채널)"
2010년대,2013-09-04,"北(통지문), 금강산관광 예약으로 외금강호텔·금강산호텔을 이용할 수 없다며 해금강호텔·현대생활관을 사용할 것을 제의"
2010년대,2013-09-05,"南(통지문), 안전성·수용규모 등을 고려할 때, ’09년·’10년 상봉행사시 숙소로 사용한 외금강호텔과 금강산호텔을 사용해야 한다는 입장을 재강조"
2010년대,2013-09-13,"남북, 이산가족 상봉후보자들의 생사확인 회보서 교환(판문점)"
2010년대,2013-09-16,"이산가족 상봉 최종명단(南 96명, 北 100명) 교환"
2010년대,2013-09-20,이산가족 상봉행사 선발대 방북
2010년대,2013-09-21,"북 조평통 대변인 성명, 이산가족 상봉행사 일방 연기 발표"
2010년대,2013-09-21,"한적, 총재명의의 보도자료 배포(상봉 연기 유감표명)"
2010년대,2013-10-24,"북적 통지문, ‘불법입국 하였다가 단속된 우리측 인원 6명을 인도주의적 차원에서 돌려 보내겠다’는 입장을 통보"
2010년대,2013-10-24,"한적 통지문, ‘늦었지만 이들을 돌려보내겠다고 결정한 것에 대해 다행스럽게 생각한다’는 입장 전달"
2010년대,2013-10-25,판문점을 통해 북한에 억류되어 있던 우리 국민 6명과 유해 1구 인수
2010년대,2013-11-26,연평도 인근 해상에서 구조(11.22)된 북한 선원 1명을 판문점을 통해 북측에 송환
2010년대,2014-01-06,"대통령 신년기자회견, 올해 국정 운영의 핵심과제로 「한반도 통일시대 기반 구축」을 제시(인도적 지원강화·민간교류 확대, 이산가족 상봉 재개등을 강조)"
2010년대,2014-01-06,"한적, 설계기 이산가족상봉행사 재개 및 남북적십자실무접촉 제의"
2010년대,2014-01-09,"北, 우리측 군사훈련 등을 이유로 남북적십자 실무접촉 거부(조평통 서기국 명의 통지문)"
2010년대,2014-01-09,"北(통지문), ‘좋은 계절에 마주앉을 수 있을 것’ 언급(조평통 서기국명의→ 통일부)"
2010년대,2014-01-09,"통일부, 北 통지문 관련 유감 표명, 이산가족 상봉행사 호응 촉구"
2010년대,2014-01-17,"통일부, 중대제안에 대한 이산가족문제는 정치군사적 상황과 연계될 수 없는 시급한 순수 인도적 문제임을 표명"
2010년대,2014-01-24,"北 국방위, 공개서한 발표하며 중대제안에 대한 우리측 호응 촉구"
2010년대,2014-01-24,"북적 통지문, 설계기 이산가족 상봉행사 제의"
2010년대,2014-01-24,"통일부, 북한의 이산가족 상봉 제안 수용을 환영"
2010년대,2014-01-27,"한적 통지문, 설계기 이산가족상봉관련 실무접촉 제의(1.29 판문점 통일각에서 개최)"
2010년대,2014-01-28,"국방부, 정책기획관 명의 통지문 대북 발송(정례적 훈련이 이산가족 상봉이 영향을 받아서는 안된다는 것을 강조)"
2010년대,2014-01-29,"한적 통지문, 1.27일자 통지문 답변 촉구"
2010년대,2014-01-31,"통일부장관, 남북 적십자 실무접촉 제안에 대한 北의 답변지연 유감표명, 이산가족 행사에 조속한 호응 촉구(망향경모제 격려사)"
2010년대,2014-02-03,"북적 통지문, 남북적십자실무접촉 제의"
2010년대,2014-02-03,"한적 통지문, 남북적십자실무접촉 개최일자(2.5) 제의"
2010년대,2014-02-05,남북적십자 실무접촉 개최(판문점 통일각) - 설계기 이산가족상봉행사 개최 합의(2.20~2.25 금강산 진행)
2010년대,2014-02-06,"통일부, 대통령 연두업무 보고 실시(인도적 문제 해결, 남북동질성 회복 및 호해 협력 추진)"
2010년대,2014-02-06,"北 국방위 정책국 대변인, 北체제에 대한 비방 계속되는 한 합의 이행 고려, 이산가족 상봉행사 합의 불이행 가능성 표명"
2010년대,2014-02-06,"정부, 이산가족 상봉과 무관한 사안으로 합의 이행 위협에 대한 유감 표명, 상봉 합의를 반드시 지켜져야 한다는 입장 표명 (통일부 대변인 발표)"
2010년대,2014-02-08,"北 통지문, 남북고위급 접촉 제의"
2010년대,2014-02-10,"남북, 고위급 접촉 2.12 판문점 평화의 집 개최 합의"
2010년대,2014-02-12,남북고위급 접촉 개최(이산가족 상봉행사 등 협의)
2010년대,2014-02-14,"남북고위급 접촉 속개, 공동보도문 합의(이산가족 행사 진행)"
2010년대,2014-02-18,"대통령, 국무회의시 이산가족 상봉 관련 근본대책 수립 지시"
2010년대,2014-02-20,제19차 남북 이산가족상봉(2.20 ~ 25)
2010년대,2014-03-05,"한적 통지문, 남북적십자실무접촉 제의"
