document_id,title,agreement_date,source_url,original_filename,content_empty,warning
agreement:d48af1ced0dbb42c6f95952543297a0d7c223312f4e7de73582a892cd3c42934,<남북 경공업 및 지하지원개발 협력에 관한 합의서> 이행을 위한 세부합의서,2007-07-07,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=259,〈남북+경공업+및+지하자원개발+협력에+관한+합의서〉이행을+위한+세부+합의서.hwp,False,
agreement:db21c8f8262fae9a94c251c86512eb2ce16690a1cea0eed46ea2a13eda01350e,남북철도연결구간 열차시험운행과 관련한 합의서,2007-05-13,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=173,남북철도연결구간 열차시험운행에 관한 합의서.hwp,False,
agreement:54b29762edeada25851906750df9e465224fc0052ad53e3ff8d2021bd448d555,남북간 식량차관 제공에 관한 합의서,2007-04-22,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=167,남북간 식량차관 제공에 관한 합의서.hwp,False,
agreement:f57815f646aeb0dfa1a0ecfaf911f0fe00c4a08076305a4e0cbfa0135ae3a6e8,남북 경공업 및 지하자원개발 협력에 관한 합의서의 수정·보충 합의서,2007-04-22,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=168,남북 경공업 및 지하자원개발 협력에 관한 합의서의 수정·보충 합의서.hwp,False,
agreement:01709ff35396321d2e55d0e30c797ec6f722e79a58fbe630b39867385b0cbfdf,남북경제협력추진위원회 제13차 회의 합의문,2007-04-22,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=169,남북경제협력추진위원회 제13차 회의 합의문.hwp,False,
agreement:4e74f90e791238fc39d634648079ff10648a264f4f55903a53feaba3186c7379,제8차 남북적십자회담 합의문,2007-04-13,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=166,제8차 남북적십자회담 합의문.hwp,False,
agreement:5bb246b08039ff0493fbe76c0eba6a59822a2426d27c52ae950b4d8b6f24c024,이산가족문제 해결을 위한 남북적십자단체들의 협력사업에 관한 합의서(2006.6.21),2006-06-21,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=218,이산가족문제해결을위한남북적십자단체들의 협력사업에 관한 합의서.hwp,False,
agreement:1c2a0d71e79646b3431a29d7793803241263ff726bc31ee421a25ebbe0059672,남북당국대표단의 6.15 민족통일대축전 참가를 위한 실무접촉 합의서(2006.5.23),2006-05-23,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=159,남북당국대표단의 6.15 민족통일대축전 참가를 위한 실무접촉 합의서.hwp,False,
agreement:72a5354c4a7e9b7958ee77afbc2f2ad391bd3110d36b339e20bfde6a1049e7f7,남북 열차시험운행 행사계획(2006.5.19),2006-05-19,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=235,060519 열차 시험운행 기념행사 계획.hwp,False,
agreement:cdce74743d98b0e0aeb564529d7e7a6ac04b70574d45acf1a7deaeed351dc1cd,제12차 남북철도·도로실무접촉 합의서(2006.5.12),2006-05-12,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=156,제12차 남북철도·도로연결실무접촉 합의서.hwp,False,
agreement:2c98386947e3680dc4682e4fcf2ad6ba521bc6d5e5d8ee858b16fdd02db71f5e,제7차 남북적십자회담 합의서 (06. 2. 23),2006-02-23,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=154,제7차남북적십자회담 합의서.hwp,False,
agreement:8d92f7179611aa8a53e44b1f77c101cb602ac69b6e70cc36af7db3ef9f84d971,남북이산가족 화상상봉 실시에 관한 합의서 (2005. 10. 7),2005-10-07,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=148,,False,
agreement:6681e456ca10ff28bc08017633ccbaff372d3b3bf33e771f3d03be7f5d62871f,남북농업협력위원회 제1차 회의 합의문(2005.8.19),2005-08-19,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=137,제1차 농업협력위원회 합의문.pdf,False,
agreement:4bf9e13f7854efd435145d638114f76c17c724444d34c814a9f414773f3e45be,남북농업협력위원회 구성·운영에 관한 합의서(2005.7.31),2005-07-31,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=217,050731 남북농업협력위원회 구성 운영에 관한 합의서.hwp,False,
agreement:321178e2bb1fae4f8e3e130edd22165d22a5513120110bc172ca02f465b2ec23,남북철도·도로연결실무협의회 제5차 회의 합의서,2005-07-30,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=136,kbn0307_1951A.hwp,False,
agreement:61dac00f41e25aa2d6b387dd22921d192aa16ccf4e558b2d581e0b25ce76ae24,8. 15 남북통일축구경기 실무절차 합의서 (2005. 7. 28),2005-07-28,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=149,,False,
agreement:cc516f889fcb1adbf006769c54b47e2dd17ac156ff26c0c5820a30e78df83ea2,남북수산협력실무협의회 제1차 회의 합의서 (2005. 7. 27),2005-07-27,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=152,,False,
agreement:a1f87711eae7235d360fe33d73502959e1697b80b2fe5553a581f2c94aa60c61,8.15 민족대축전에 남북당국대표단을 파견하기 위한 실무접촉 합의서,2005-07-22,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=141,8.15 민족 대축전에 남북 당국대표단을 파견하기 위한 실무접촉 합의서.hwp,False,
agreement:95ac899d07158abba66de7aedea8458991e07f45fac064e51e7f3b20897f5d2e,남북 이산가족 시범화상상봉에 관한 합의서 (2005. 7. 19),2005-07-19,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=147,,False,
agreement:105d19dd3d9595cfca9fe2e30e061da662456d6e3d1fd73cff62fc16e5db081e,6.15 공동선언 발표 5주년 기념 민족통일대축전에 남북 당국대표단을 파견하기 위한 실무합의서(2005.5.28),2005-05-28,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=213,050528 6.15공동선언 5주년 기념행사 남북 당국대표단 파견을 위한 실무합의서.hwp,False,
agreement:5ebd947a6fbdd68b0b1c49bc3b301eef41662de9961325dbe75aca100e8910e5,남북간 식량차관 제공에 관한 합의서(2004.7.13),2004-07-13,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=212,040713 남북간 식량차관 제공에 관한 합의서.hwp,False,
agreement:f335b2efc5d4e0b1e598c8c7f2623630f127511440121efc7944527f9cae2cf7,제10차 남북철도·도로연결실무접촉 합의서(2004.7.10),2004-07-10,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=131,h040702(철도도로접촉10차).hwp,False,
agreement:49ff8cf89b6ed446e8366ace5cccfedccc19b73d320fb7ae68704fc3fbccd13f,남북경제협력추진위원회 제9차 회의 합의문(2004.6.5),2004-06-05,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=126,h040605(경추위9차).hwp,False,
agreement:1e2d89b76798d497f86d0d8370ee2b6a3602e6a731f2dba72063f1e46b4a2f3f,남북해운합의서(2004.5.28),2004-05-28,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=127,h040528_해운합의서.hwp,False,
agreement:f547d6264165e2d6e51cef716b1484ef4a97ad5a64e99a74f97312732388fff4,'남북해운합의서'의 이행과 준수를 위한 부속합의서(2004.5.28),2004-05-28,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=237,040528_남북해운합의서의 이행과 준수를 위한 부속합의서.hwp,False,
agreement:a4d9d721da46481787d9d06b68af74bc8e1560ad85bfc09b818ef663e624b453,남북철도.도로연결실무협의회 제4차 회의 합의서(2004.4.10),2004-04-10,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=123,h040410(철도협의회4차).hwp,False,
agreement:80e594b398e1471eebaeb127aaa446160f8158e85d531198fa388ffc11a2f049,"제9차 남북철도.도로연결실무접촉 합의서(2004.2.26, 개성)",2004-02-26,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=115,kbn0301_1360A.hwp,False,
agreement:9868c6da109cf65328256a28c8e1ccec2dae13e4f6a0ea15909b923cf8efceaf,남북경제협력추진위원회 제7차 회의 합의문(2003.11.8),2003-11-08,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=80,H-093.hwp,False,
agreement:c4a92d1934f241a1057afc67e57b3a77f5b1374491ac5c96a93cce0559d8604c,"제5차 남북적십자회담 합의서(금강산 면회소 건설에 관한 합의서, 2003.11.6)",2003-11-06,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=2,H-034.hwp,False,
agreement:27358de98019b885699c99f271b70a75b2532b81f1993c2a26cbc6160e9b30c5,제7차 남북철도·도로연결 실무접촉 합의서(2003. 10.28),2003-10-28,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=1,H-092.hwp,False,
agreement:fc3a46de5a904bd22b4094380c45c6c52288ec4e7a45f040e92fada92d99966c,제6차 남북철도.도로연결 실무접촉 합의서(2003.8.22),2003-08-22,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=86,H-087.hwp,False,
agreement:21a32a3a558b0eb11d4909017df3c01fcbdc5fbb6253a4828c5ccba3b8d34f51,남북경제협력제도 실무협의회 제2차 회의 합의서(2003.7.31),2003-07-31,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=92,H-085.hwp,False,
agreement:311d14062f89609df4dc2b624ae8fded0a88c8e470eaa6030522eafcbadd2d47,남북 사이에 거래되는 물품의 원산지 확인 절차에 관한 합의서(2003.7.31),2003-07-31,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=93,H-086.hwp,False,
agreement:3870478971e2ef0f0941eba4841895613868d8b4dbaf6bdbccb88d2bcdf53cac,제5차 남북철도.도로연결 실무접촉 합의서(2003.6.9),2003-06-09,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=85,H-083.hwp,False,
agreement:ef7ac3919db5b4492dd8a1fea566424407aca227bd48c5e89e46056d751753c7,남북경제협력추진위원회 제5차 회의 합의문(2003.5.23),2003-05-23,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=78,5차경추위(0523).hwp,False,
agreement:ce01d64e6ff429f0634f9ceb2ea94be162a2acb7c329b22e4702701c654abe40,남북간 식량차관 제공에 관한 합의서(2003.5.23),2003-05-23,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=211,030523 남북간 식량차관 제공에 관한 합의서.hwp,False,
